technique_id;chaine_id
T001;C019
T001;C022
T001;C046
T002;C021
T002;C004
T002;C049
T003;C002
T003;C003
T003;C011
T004;C013
T004;C034
T004;C035
T005;C011
T005;C052
T006;C001
T006;C003
T006;C023
T007;C041
T008;C002
T008;C008
T009;C005
T009;C028
T010;C055
T011;C051
T012;C052
T013;C011
T013;C012
T014;C047
T014;C048
T015;C005
T015;C028
T016;C002
T016;C008
T017;C018
T017;C053
T018;C007
T018;C053
T019;C003
T019;C018
T020;C002
T020;C051
T021;C007
T021;C025
T022;C056
T022;C057
T023;C025
T023;C027
T024;C036
T024;C044
T025;C012
T025;C052
T026;C041
T027;C027
T027;C043
T028;C024
T028;C030
T029;C056
T029;C057
T030;C041
T030;C049
T031;C030
T031;C054
