date,proverbe,origine
01/01/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
02/01/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
03/01/2025,Le fleuve qui oublie sa source tarit.,africain
04/01/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
05/01/2025,On ne ramasse pas le bois pourri deux fois.,africain
06/01/2025,Tout sé chimen ka mennen an péyi.,antillais
07/01/2025,Le voyage de mille lieues commence par un pas.,africain
08/01/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
09/01/2025,Même la plus petite étoile brille dans l’obscurité.,africain
10/01/2025,Pa ni pi gran pyès pasé lanmou.,antillais
11/01/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
12/01/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
13/01/2025,Le fleuve qui oublie sa source tarit.,africain
14/01/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
15/01/2025,On ne ramasse pas le bois pourri deux fois.,africain
16/01/2025,Tout sé chimen ka mennen an péyi.,antillais
17/01/2025,Le voyage de mille lieues commence par un pas.,africain
18/01/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
19/01/2025,Même la plus petite étoile brille dans l’obscurité.,africain
20/01/2025,Pa ni pi gran pyès pasé lanmou.,antillais
21/01/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
22/01/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
23/01/2025,Le fleuve qui oublie sa source tarit.,africain
24/01/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
25/01/2025,On ne ramasse pas le bois pourri deux fois.,africain
26/01/2025,Tout sé chimen ka mennen an péyi.,antillais
27/01/2025,Le voyage de mille lieues commence par un pas.,africain
28/01/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
29/01/2025,Même la plus petite étoile brille dans l’obscurité.,africain
30/01/2025,Pa ni pi gran pyès pasé lanmou.,antillais
31/01/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
01/02/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
02/02/2025,Le fleuve qui oublie sa source tarit.,africain
03/02/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
04/02/2025,On ne ramasse pas le bois pourri deux fois.,africain
05/02/2025,Tout sé chimen ka mennen an péyi.,antillais
06/02/2025,Le voyage de mille lieues commence par un pas.,africain
07/02/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
08/02/2025,Même la plus petite étoile brille dans l’obscurité.,africain
09/02/2025,Pa ni pi gran pyès pasé lanmou.,antillais
10/02/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
11/02/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
12/02/2025,Le fleuve qui oublie sa source tarit.,africain
13/02/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
14/02/2025,On ne ramasse pas le bois pourri deux fois.,africain
15/02/2025,Tout sé chimen ka mennen an péyi.,antillais
16/02/2025,Le voyage de mille lieues commence par un pas.,africain
17/02/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
